Id. de la fila,Id. del pedido,Fecha del pedido,Fecha de envío,Método de envío,Id. del cliente,Nombre del cliente,Segmento,Ciudad,Provincia/Estado/Departamento,País/Región,Región,Id. del producto,Categoría,Subcategoría,Nombre del producto,Ventas,Cantidad,Descuento,Ganancia
1682,MX-2023-111899,4/2/2023,4/6/2023,Estándar,AM-11365,Araceli Manzanares,Empresa,Cruzeiro do Sul,Acre,Brasil,Sur,MAT-AR-10004857,Material de oficina,Arte,"Boston Rotuladores, Tamaños variados",591,3,0,206.4
5919,MX-2023-113922,10/8/2023,10/11/2023,Rápido,BS-12130,Benjamín Saavedra,Cliente,Rio Branco,Acre,Brasil,Sur,MOB-LI-10000647,Mobiliario,Librerías,"Dania Conjunto de estantes, Metal",2250.8,2,0,922.8
5920,MX-2023-113922,10/8/2023,10/11/2023,Rápido,BS-12130,Benjamín Saavedra,Cliente,Rio Branco,Acre,Brasil,Sur,MAT-CA-10002956,Material de oficina,Carpetas,"Avery Anillas, Transparente",129,5,0,11
9013,MX-2021-163888,6/14/2021,6/18/2021,Estándar,AT-10090,Alejandro Trejo,Cliente,Rio Branco,Acre,Brasil,Sur,MOB-MO-10002100,Mobiliario,Mobiliario,"Tenex Bandeja apiladora, Negro",504.6,3,0,95.4
9014,MX-2021-163888,6/14/2021,6/18/2021,Estándar,AT-10090,Alejandro Trejo,Cliente,Rio Branco,Acre,Brasil,Sur,MOB-LI-10002747,Mobiliario,Librerías,"Safco Vitrina, Convencional",3376.8,3,0,641.4
9406,MX-2020-109029,7/20/2020,7/22/2020,Urgente,AJ-10840,Amador Jasón,Cliente,Cruzeiro do Sul,Acre,Brasil,Sur,MAT-CA-10003527,Material de oficina,Carpetas,"Avery Cubierta de carpeta, Duradero",167.6,2,0,62
603,MX-2023-103002,5/16/2023,5/18/2023,Urgente,LG-17920,Leonor Gómez,Cliente,Penedo,Alagoas,Brasil,Sur,MAT-AL-10002433,Material de oficina,Almacenamiento,"Fellowes Archivador móvil, Industrial",1837.2,2,0,753.2
809,MX-2022-133459,9/5/2022,9/9/2022,Estándar,CV-12475,Cristina Vergara,Cliente,Maceió,Alagoas,Brasil,Sur,MAT-SO-10003712,Material de oficina,Sobres,"Cameo Sobre de tipo Manila, 50",540,3,0,37.8
3315,MX-2020-141726,11/11/2020,11/16/2020,Rápido,EC-14410,Eusebio Cano,Pequeña empresa,Maceió,Alagoas,Brasil,Sur,MOB-SI-10000143,Mobiliario,Sillas,"Harbour Creations Silla plegable, Negro",3182,5,0,159
3474,MX-2022-130911,10/5/2022,10/7/2022,Rápido,HS-15655,Héctor Salcido,Empresa,Arapiraca,Alagoas,Brasil,Sur,MOB-SI-10004179,Mobiliario,Sillas,"Office Star Silla de playa, Negro",706.8,2,0,42.4
3499,MX-2022-166443,8/21/2022,8/25/2022,Estándar,WV-21820,Wendi Valdés,Cliente,Maceió,Alagoas,Brasil,Sur,MAT-PA-10000990,Material de oficina,Papel,"Green Bar Cuaderno, Multicolor",1248,6,0,261.6
3500,MX-2022-166443,8/21/2022,8/25/2022,Estándar,WV-21820,Wendi Valdés,Cliente,Maceió,Alagoas,Brasil,Sur,TEC-MÁ-10004980,Tecnología,Máquinas,"Panasonic Impresora, Rojo",7030.4,4,0,3515.2
